Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Slingerlands Running,4.4,468,29:45:00,,,161,192,6:45,3:52,94,92,1.48,,,,,
running,Delmar Running,7.69,828,1:00:07,,,162,182,7:49,4:57,212,209,1.27,,,,,
running,Slingerlands Running,5.01,539,32:17:00,,,164,177,6:27,4:57,70,63,1.52,,,,,
running,Slingerlands Running,6.07,654,41:32:00,,,163,201,6:51,3:42,150,155,1.45,,,,,
running,Bethlehem Running,1.46,157,10:03,,,,,6:52,3:59,,,0,,,,,
running,Bethlehem Running,2.01,219,11:21,,,,,5:39,4:53,44,49,0,,,,,
running,Bethlehem Running,1.57,173,11:40,,,,,7:27,6:04,36,47,0,,,,,
running,Slingerlands Running,6.25,673,42:57:00,,,164,176,6:52,5:32,187,180,1.42,,,,,
running,Slingerlands Running,5.87,629,40:12:00,,,163,181,6:51,4:20,125,128,1.44,,,,,
running,New Scotland Running,3,331,31:01:00,,,,,10:20,7:53,116,119,0,,,,,
running,East Greenbush Running,0.91,94,06:18.6,,,162,172,6:57,5:07,,,1.43,,,,,
running,East Greenbush Running,3.76,405,28:44:00,,,162,198,7:38,5:25,187,168,1.3,,,,,
running,Slingerlands Running,5.01,538,35:19:00,,,162,174,7:03,6:00,79,72,1.41,,,,,
running,Slingerlands Running,6.04,653,40:02:00,,,163,178,6:38,4:58,164,167,1.49,,,,,
running,New Scotland Running,5,554,39:08:00,,,,,7:50,6:32,74,75,0,,,,,
running,Bethlehem Running,4.75,517,32:10:00,,,,,6:47,5:41,81,72,0,,,,,
running,Bethlehem Running,5.19,571,35:05:00,,,,,6:46,5:19,97,93,0,,,,,
running,Albany Running,1.16,122,07:08.4,,,162,171,6:09,5:14,18,36,1.61,,,,,
running,Slingerlands Running,4.03,433,26:55:00,,,162,177,6:41,5:10,64,23,1.49,,,,,
running,Slingerlands Running,3.84,415,26:15:00,,,162,169,6:50,6:09,79,73,1.45,,,,,
running,Slingerlands Running,3.93,421,26:01:00,,,165,172,6:38,4:55,48,41,1.48,,,,,
running,Slingerlands Running,4.84,520,32:03:00,,,163,174,6:38,5:44,68,61,1.49,,,,,
running,Bethlehem Running,5,550,36:36:00,,,,,7:19,5:59,75,73,0,,,,,
running,Bethlehem Running,4.47,490,32:14:00,,,,,7:12,5:26,109,105,0,,,,,
running,East Greenbush Running,5.11,555,43:49:00,,,157,175,8:35,6:17,172,159,1.19,,,,,
running,Bethlehem Running,4.5,495,34:24:00,,,,,7:39,6:52,79,81,0,,,,,
running,Bethlehem Running,3.08,336,20:38,,,,,6:42,5:44,77,47,0,,,,,
running,Poughkeepsie Running,1.22,131,10:56,,,158,168,9:00,6:28,163,,1.13,,,,,
running,New Scotland Running,5.5,610,43:07:00,,,,,7:50,6:42,164,178,0,,,,,
running,Poughkeepsie Running,3.13,330,18:22,,,164,198,5:52,4:57,28,226,1.67,,,,,
running,New Scotland Running,7,777,53:43:00,,,,,7:40,6:15,208,200,0,,,,,
running,Slingerlands Running,2.99,319,19:35,,,164,173,6:33,5:50,39,33,1.5,,,,,
running,Bethlehem Running,4.64,501,29:06:00,,,,,6:17,5:35,64,64,0,,,,,
running,Poughkeepsie Running,5.77,601,43:21:00,,,162,198,7:31,3:58,241,215,1.32,,,,,
running,Poughkeepsie Running,8.07,869,57:52:00,,,162,175,7:10,5:07,682,666,1.38,,,,,
running,Williamsburg Running,1.03,113,08:32.2,,,161,171,8:18,7:17,,,1.21,,,,,
running,Williamsburg Running,1.24,132,09:56.3,,,162,198,8:03,6:16,23,27,1.23,,,,,
running,Williamsburg Running,1.4,146,12:44,,,163,172,9:06,6:58,51,56,1.08,,,,,
running,Williamsburg Running,1.23,131,09:37.2,,,163,178,7:50,6:09,19,23,1.26,,,,,
running,Poughkeepsie Running,1.71,182,13:58,,,162,173,8:10,6:55,167,94,1.21,,,,,
running,Highland Running,0.93,100,04:58.5,,,167,183,5:21,5:10,53,,1.8,,,,,
running,Albany Running,1.1,118,08:07.6,,,161,171,7:24,6:58,16,27,1.35,,,,,
running,Poughkeepsie Running,2.09,228,17:04,,,162,171,8:10,6:12,38,36,1.22,,,,,
running,Poughkeepsie Running,3.4,370,25:00:00,,,165,179,7:22,5:23,50,41,1.33,,,,,
running,Poughkeepsie Running,3.86,419,28:13:00,,,165,185,7:19,5:48,145,123,1.33,,,,,
running,Poughkeepsie Running,1.61,172,11:52,,,165,183,7:23,6:46,23,25,1.32,,,,,
running,Poughkeepsie Running,4.7,505,33:27:00,,,163,176,7:07,5:45,216,182,1.39,,,,,
